trade_id,instrument,symbol,underlying,instrument_type,option_type,strike,expiry,quantity,entry_time,exit_time,entry_price,exit_price,pnl,holding_seconds,holding_minutes
133,NIFTY22112418250CE,NIFTY22112418250CE,NIFTY,OPTION,CE,18250,2022-11-24,1,2022-11-18 13:47:38,2022-11-18 13:47:52,125.35,126.0,0.6500000000000057,14.0,0.23333333333333334
134,NIFTY22112418250PE,NIFTY22112418250PE,NIFTY,OPTION,PE,18250,2022-11-24,1,2022-11-18 13:47:38,2022-11-18 13:47:52,100.55,100.0,-0.5499999999999972,14.0,0.23333333333333334
135,NIFTY22112418300CE,NIFTY22112418300CE,NIFTY,OPTION,CE,18300,2022-11-24,1,2022-11-18 13:47:52,2022-11-18 13:47:54,99.25,99.2,-0.04999999999999716,2.0,0.03333333333333333
136,NIFTY22112418300PE,NIFTY22112418300PE,NIFTY,OPTION,PE,18300,2022-11-24,1,2022-11-18 13:47:52,2022-11-18 13:47:54,123.6,122.95,-0.6499999999999915,2.0,0.03333333333333333
137,NIFTY22112418250CE,NIFTY22112418250CE,NIFTY,OPTION,CE,18250,2022-11-24,1,2022-11-18 13:47:54,2022-11-18 13:47:55,126.35,126.35,0.0,1.0,0.016666666666666666
138,NIFTY22112418250PE,NIFTY22112418250PE,NIFTY,OPTION,PE,18250,2022-11-24,1,2022-11-18 13:47:54,2022-11-18 13:47:55,99.3,99.65,0.3500000000000085,1.0,0.016666666666666666
139,NIFTY22112418300CE,NIFTY22112418300CE,NIFTY,OPTION,CE,18300,2022-11-24,1,2022-11-18 13:47:55,2022-11-18 13:47:56,99.2,99.2,0.0,1.0,0.016666666666666666
140,NIFTY22112418300PE,NIFTY22112418300PE,NIFTY,OPTION,PE,18300,2022-11-24,1,2022-11-18 13:47:55,2022-11-18 13:47:56,123.2,122.95,-0.25,1.0,0.016666666666666666
141,NIFTY22112418250CE,NIFTY22112418250CE,NIFTY,OPTION,CE,18250,2022-11-24,1,2022-11-18 13:47:56,2022-11-18 13:47:57,126.05,126.4,0.3500000000000085,1.0,0.016666666666666666
142,NIFTY22112418250PE,NIFTY22112418250PE,NIFTY,OPTION,PE,18250,2022-11-24,1,2022-11-18 13:47:56,2022-11-18 13:47:57,99.4,99.25,-0.15000000000000568,1.0,0.016666666666666666
